{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.37436} 那么，丹科夫斯基医生？你能治愈我的精神疾病吗？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.3580} 一种纯粹精神性的疾病去对抗瘟疫？我很难想象。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.61989} 所以，你的搜寻陷入僵局了？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.25704} 暂时如此。但我会打破这个僵局，我向你保证。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.60051} 我必须检查你住的地方。把它当成一次科学野外考察。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.46002} 幻觉可能由感染引起。但其他症状我还不能确定。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.36317} 我仍不确信你真的有幻觉。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.16211} 我去过你家，艾米莉亚。你的植物收藏相当壮观。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.53285} 谢谢。不过那不是我的家。只是临时住所。我可不愿把一间外省小镇里逼仄的住处当成真正的居所。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.45905} 我注意到你桌上有放大镜。你的视力是否迅速恶化过？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.53421} 是的，事实上就在前几天！我归咎于南方的太阳。真是极不方便！我几乎读不了书，还不小心碰倒摔碎了最喜欢的花瓶……
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.18100} 和我想的一样。给我片刻，我几乎可以确定临床图像了。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.26750} 看你公寓的状况，我忍不住觉得你有些协调困难。是这样吗？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.3700} 哦，胡说。你看，我可以用食指碰到鼻尖。你若坚持，我也能走直线。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.16438} 那我还漏了什么……让我想想。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.9112} 你不觉得自己的食欲突然变得过盛了吗？你桌上的食物够办一场大学宴会。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.6373} 最近那次旅行太耗人，让我一直饥饿！我饿得怎么吃都不够。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.64827} 这绝对是症状。我确信正确诊断已经触手可及。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.19452} 你家里有罂粟开花，艾米莉亚。告诉我，你会提取阿片吗？也许那就是你幻觉的来源？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.19956} 什么？你竟会拿这种胡话来惊我，丹科夫斯基医生。照这个逻辑，我也能问你，作为医生：你是不是已经戒掉每天早上喝外科酒精了？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.15060} 你幻觉的原因会不会是twyre（特维草）？你最近摄入过吗？或者修剪、换盆时让它的汁液沾到裸露皮肤上？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.18014} 我对twyre（特维草）没有兴趣。我青春期研究过它，那时接触不到更有前景的植物。草原特有种被严重夸大了。我倒是有一盆，但总忘了浇水，更不用说修剪。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.61249} 你会说自己的健康是在考察期间恶化的吗？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.11318} 你是我的主治医师，这只是我承认它的唯一理由。是的。我会这么说。但真正的研究者从不畏惧荒野的艰苦。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.52896} 我有个坏消息。你一定是在南方深林里染上了它。好消息是，也正因如此，沙疫还没杀死你。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.61189} 跟我说实话。这是你的第一次考察，对吗？你毫无经验，就一头扎进了难以穿越的南方森林。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.62773} 你怎么知道？你窥探了我的私人书信？还是邻居们在嚼舌？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.15713} 这不重要。你的反应已经证实了。我有个坏消息。你在南方染上了这种病，当时你并不真正知道如何在那里生存。好消息是，也正因如此，沙疫还没杀死你。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.4862} 我注定要死吗，丹科夫斯基医生？我不想死……我还没准备好。我的名字还没有出现在任何一本植物学教材里……
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.1118} 我向你保证，我会尽我所能。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.36104} 你有手稿吗？草稿？我会确保它们出版。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.50631} 你能不能别演这出戏，先等诊断？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.11484} 等一下。我觉得正确诊断已经在我手边了。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.30387} 你允许我检查你吗？这有助于诊断。
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.19583} 我要取一些样本。你同意吗？
{Dialogs2.Hospital.Day7.Hospital_Platon.Hospital_Platon_NewQuestions.1992} 目前你必须留在医院。想个办法熬过无聊吧。我会尽快回来。
