{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.11176} 你身上碰巧有烟吗？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.21795} 更糟。我就是他。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.24952} 天哪。真尴尬。非常抱歉。我对人的脸记性糟透了。我见过你的肖像，却还是没认出你。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.4721} 现在我倒好奇了，你是在哪儿碰巧见过我的肖像。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.29443} 有份报纸刊过一篇关于你的文章。关于塔纳提卡。我记得我跟西蒙提起过，他说他认识你。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.5683} 原话如此？这很奇怪。我从没见过他。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.29300} 确实奇怪。也许我记混了。他可能是说并不亲自认识你，但知道你。听过很多关于你的事。所以，你来这里研究西蒙是真的？事情变成这样，我真的很遗憾。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.20712} 糟透了。我想我甚至知道你说的是哪篇文章。请相信，里面写的全是谎言。是针对我的一场有组织抹黑的一部分。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.13961} 哦，我一眼就看出来了，我向你保证。那种语气很明显，你正失宠。不过我以为西蒙会欣赏你的追求。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.5702} 谢谢。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.6688} 虽然听起来荒唐，但我怀疑西蒙并没有死。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.9692} 完全没关系。挺有趣的。往好处想，我现在知道大学外的人是怎么看我的了。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.18453} 所以，你来这里研究西蒙是真的？事情变成这样，我真的很遗憾。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.29422} 我还没有失去希望。我仍指望能找到他的尸体。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.19432} 祝你好运。希望你能成功。也再次为我的失言道歉。我有时会把名字和脸弄混。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.5881} 完全没关系。我该走了。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.7215} 你不该走。我怀疑西蒙并没有死。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.11729} 是吗？嗯，我们不能排除这种可能。凯恩家很擅长各种骗局。不过话说回来，我对西蒙并未死去也有疑虑。他为什么要这么做？他伪造自己死亡会有什么动机？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.16741} 我不知道。所以我才试图弄懂围绕他尸体的这场猫鼠游戏。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.6424} 这座镇上正在发生怪事。讲出去会被当成疯子的怪事。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.18229} 比如西蒙还活着？这种事？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.8480} 是。或者看多面体。你见过多面体吗？那座建筑不可能存在，可本地人每天都看见它，还把它当成理所当然。他们习惯了。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.8501} 你还指望什么。那是斯塔马京造的。不是安德烈，是另一个。他兄弟，彼得。去问他是怎么做到的。他会解释没有什么不可能。他很擅长解释。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.9438} 看来你对斯塔马京兄弟评价不高。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.27104} 为什么，不，彼得在自己的事上确实卓越，这点毫无疑问。可惜，卓越和正直很少共存在一个人身上。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.29681} 我想我该走了。很高兴认识你。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.25343} 别这么严厉。我认识斯塔马京兄弟，甚至和安德烈一起读过书。他们当然有怪癖，但总体而言，在一定限度内，他们是心地不错的人。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.7313} 嗯，你更清楚。每个人对“限度之内”和“越过限度”的理解都不同。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.3246} 你看起来很失望。我说错什么了吗？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.30903} 不。是多面体。它的样子让我有些害怕，或者说，它竟然存在这件事本身让我害怕。它看起来像一只蜂巢。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.26319} 我倒觉得它像一朵玫瑰。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.29599} 你是个浪漫主义者。这会过去的。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.30787} 我想我该走了。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.11395} 是，就是那种。阁楼里的落地钟也是。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.22846} 它怎么了？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.24802} 我不知道该怎么解释。过去几天，我在隔壁房间入睡时，总觉得听见那座钟不是滴答作响，而是在低语。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.921} 哇。它低语的是完整的词吗？我能想象你上床睡觉，角落里的钟说：“睡衣不错啊，朋友！在哪儿买的？”
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.9408} 你不相信我……
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.2622} 哎呀，我当然相信你。这可是静水观星台。一座会低语的钟一点也不奇怪。就像我说的，我自己也总觉得这里有时会多出一间房。我来这里就是为了找它。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.28348} 嗯，谢谢你安慰我。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.9298} 你找到了吗？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.22696} 没有。我想我一来，它就消失了。但我很固执。如果你找到了，记得联系我告诉我，好吗？我真想看看那间房。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.83} 好。我一定会。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.30005} 你试过摸它吗？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.25558} 那是钟。它是用来报时的，不是用来摸的。为什么问？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.28211} 没什么。只是问问。我想我该走了。再见。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.18271} 伊娃相信它不是一座普通的钟。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.26718} 哪个伊娃？啊，伊娃……伊娃不是普通女人。所以在她看来，静水观星台里的东西没有一样普通。那座钟也一样。不过从来没人告诉我摸它会发生什么。会让时间倒流吗？哈哈。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.16872} 哈哈，是啊，很好笑。我想我该走了。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.1300} 我听说静水观星台就是围绕那座钟建起来的。据说它是第一个被搬进这栋楼的东西。而且是西蒙亲自坚持的。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.25871} 抱歉让你失望，但我觉得你是在没有意义的地方寻找意义。有时候，钟就只是钟。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.7744} 也许吧。我想我该走了。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.5913} 我听说过他。但我不打算见他。我觉得他是在把时间浪费在胡闹上。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.29627} 那真可惜。你在某些方面和他很像。我的意思是，我并不认识他本人。但我想你们会找到共同点。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.26708} 有这个可能，确实有。我想我该走了。还有事要处理。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.16579} 坦白说，根据我知道的那些事……要是我见到他，我发誓会揍烂他的脸。你知道有些人就是那么让人恼火，哪怕只是听别人说起，也会让你感觉到？他就是那种人。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.21143} 等等，你是——天哪，这可尴尬了。你就是他！非常抱歉。我记人脸的能力糟透了。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.24901} 我认识他。彻头彻尾的混账。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.6220} 你非得这么刻薄吗？任何人都有权把自己的努力投向任何方向。谁知道这世上的堂吉诃德里，哪一个正好刺中的不是风车，而是真正的巨人呢。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.18967} 有这个可能，确实有。我想我该走了。抱歉。事情太多。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.1806} 第一次听说他。谢谢提醒。也许我该写信给他，告诉他放弃徒劳的事业，去做点有用的事。他可以种芜菁。那有用得多。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.23641} 为什么这么直白？任何人都有权把自己的努力投向任何方向。谁知道这世上的堂吉诃德里，哪一个正好刺中的不是风车，而是真正的巨人呢。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.7836} 原来你是这么看的。和风车作战。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.6399} 这里为什么会多出一间房？这毫无道理。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.21460} 我知道，但仍然如此。我不是说真的会凭空多出房间，而是那种总体感觉。这就是静水观星台。西蒙对这里的一切都知道。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.6325} 吸烟有害。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.21518} 但有时必要。你总是这样吗？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.1209} 哪样？
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.20560} 无趣。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.19214} 这个问题范围过宽。你若能定义一下“无趣”，我或许可以作答。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.27404} 我明白了。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.16413} 那是玩笑。我是在开玩笑。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.28340} 我知道。只是不好笑。真抱歉。话说回来，你在这里做什么？虽然我想我不该问。伊娃总让怪人住在这里。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.25104} 别人叫过我许多称呼，但“怪人”还是第一次。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.28398} 别往心里去。有时候我话一出口，才意识到自己说了出来。这是静水观星台的缘故。这个地方对我有种奇怪的影响。你知道，有时我会觉得它多出了一间房。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.10887} 不。只有饿的时候。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.19788} 好吧。那么你在这里——呃——虽然我想我不该问。伊娃总让怪人住在这里。
{ArchiveDialogs.NewArchive.Day5_Q5_YuliaInStillwater.28489} 我是医生。我亲眼见过香烟会对人造成什么。
