{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.21721} 我能看到你看着我的方式。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.19408} 别担心，这里什么都没有。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.31426} 等它们消失后我们再谈？
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.18012} …
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.11172} 趁你闭嘴的时候，让我亲眼看看你实验的结果。请到屏风后面去。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.9648} 哦，请让我从你身上取些样本。我想在显微镜下检查奇迹。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.26575} 我们先歇一歇。我需要时间理解你这项惊人的突破。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.64903} 现在问题是，这些胚牛虫是你自己的，连同发明妄想一起获得的，还是感染症状？
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.22311} 你的胚牛虫把一切都搅乱了。症状太多。这不行。
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.2910} 呃，听听这些胡话！
{Dialogs2.Hospital.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.26353} 我看得出来。不过还是请你启发我。
