{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.63930} 你又来审判我了吗，丹科夫斯基？在大教堂还没审够？
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.13350} 你的生命今天还没有结束。你本可能被绞死，但你还活着。这意味着你仍有机会修正错误。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.27095} 看来你正忙着沉溺于自怜。我就不打扰了。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.39183} 克拉拉走了，算你走运。她只会带来麻烦。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.36250} 我很抱歉。真心的。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.10743} 你是为这个来的？来道歉？
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.2749} 我是来求你帮个忙的。当疫情已成事实时，你在铁轨上布置了巡逻的人。你能命令他们撤下吗？
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.38880} 我为什么要这么做，丹科夫斯基？我已经不是镇长了，即使我还是，也绝不会下这样的命令。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.36472} 卡尔明斯基正在庆祝他战胜了你。你不想搅坏他的胜利吗？比如说，一列火车沿铁轨驶来——却无人阻拦……
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.43093} 我本以为你是个有荣誉感的人，丹科夫斯基。如果我仍是镇长，我会因为这种问题当场逮捕你。但现在——我只会当作这场谈话从未发生过。你该走了。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.34113} 你都被如此不光彩地对待了，再谈荣誉也没什么意义。不过我明白你的立场了。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.16100} 也许有一天你会重新考虑。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.35227} 算了。请把我的问题当成一次思想实验。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.43592} 人们说，西蒙死的那晚，克拉拉从一座空坟里爬了出来。你不觉得可疑吗？
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.20934} “人们说。”人们什么都说。他们还说卡捷琳娜在吞吃自己未出世的孩子。那不过是流言——胡扯。克拉拉是真正的天赐之物。她带走了卡捷琳娜的痛苦。她是命运送到我们身边的。而我弃绝了她，如今卡捷琳娜就在我眼前一天天衰败。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.223} 你明白这正是卡尔明斯基想要的，对吧？他要压垮你。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.42835} 你被剥夺了权力，被剥夺了帮助小镇的能力——而你满脑子却只有克拉拉。卡尔明斯基做得对。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.49999} 你为什么要收养她？她对你们来说完全是陌生人。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.31907} 你并非出身世家，对吧，丹科夫斯基？成为古老家族的一员，就意味着某些义务。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.13889} 我的家族大概也对我很失望。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.30939} 问题就在这里：你的家族对这座小镇意义重大，很有分量。而你让一个货真价实的街头陌生人进入了这个家族。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.44058} 你的宅邸被暴民包围了，萨布罗夫。但我把他们赶走了。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.19973} 可惜。说实话，在内心深处，我倒希望他们更坚决些。我做下的事无法修正，只能用火烧掉。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.9188} 你在说什么？
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.41214} 你觉得她有朝一日会原谅我吗，丹科夫斯基？她心胸宽大。可即便如此，也未必足以容下我的背叛。我弃绝了她。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.55708} 外面有骚乱。人们在你的宅邸旁筑起了路障。他们要求你交出克拉拉。
{Dialogs2.Days.Day7.Day7_Q12_RotSiege.Day7_Q12_Saburov_TheirChild.49446} 某种意义上，我理解他们。我也希望克拉拉在这里。可惜。你觉得她有朝一日会原谅我吗，丹科夫斯基？她心胸宽大。可即便如此，也未必足以容下我的背叛。我弃绝了她。
