{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.25996} 待在医院闲逛很奇怪。我一点也不习惯这个。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.27205} 嗯……不能换别的活法。我不想像畜生一样活。穷日子简单，可也得辛苦。有时候，我也帮别人。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.17033} 这不是无聊的好奇。我需要知道你的处境，才能诊断你的病。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.21696} 我的处境……跟别人也差不多，你知道。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.22454} 好，我明白。不讲花哨故事。告诉我这个：贫穷简朴的生活里，屋里常有老鼠和耗子。也许还有虫子。发热之前，那些东西有没有咬过你？
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.39994} 没有，什么都没有。我受不了那些啮齿东西。我知道它们带病。所以我打扫得很彻底，就是不让那些害物搬进来。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.42484} 这不是决定性证据，但至少我可以丢掉一个假设。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.2290} 因此，我们应当考虑传播方式不同的疾病。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.54092} 阿斯特丽德，告诉他真相！我听着你说话，根本没法专心工作！丹科夫斯基医生没有心，但他不蠢。他迟早会弄明白。其实越早越好——他得为明天准备疫苗。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.9877} 斯塔赫，我的孩子……你为什么这么做？
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.34011} 我想要解释。鲁宾，这到底怎么回事？你们藏着什么秘密？
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.6512} 这些秘密不该由我说。但第一次暴发时我就认识阿斯特丽德。我帮她埋葬了丈夫和小儿子。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.20256} 现在你也要埋我了……说吧，告诉他。是你先开口的。我本不想把猫从袋子里放出来……
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.26945} 发生了什么？
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.62908} 她收留了孤儿，丹科夫斯基。那些父母死于沙疫的孩子。整整一群。她拼命干活，只为让他们有饭吃、干净、暖和。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.14814} 那又怎样？我是在想，如果五年前我和丈夫死了，只有我的小男孩活下来，他会怎样？总得有人喂那些成了孤儿的孩子。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.56678} 你为什么不说？为什么把帮孤儿这件事当成秘密？
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.37033} 你的规矩太严——严得过头。我怕你让我把他们带到这里来，让他们染上病。我是在保护他们。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.52462} 别对她太严厉，丹科夫斯基。我下班后会去看那些孩子。可以检查他们，取样。阿斯特丽德不是罪犯。她没有破坏隔离。别这样看她。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.10062} 哦，不，她没破坏隔离，她只是制造了另一个潜在感染灶。我真不敢相信你们这些人。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.24033} 孤儿，你说。许多孩子聚在一处，一个从未有过带孩子经验的女人。这也许是线索。谢谢你插话，鲁宾。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.55093} 我没想到你会有这种悲怆腔调。你不是说自己是“硬朗女人”吗？
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.15319} 你到底在帮谁？
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.30653} 嗯……看情况。主要是邻居。如今人人都在苦难里淹到脖子。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.8121} 我记下了太多症状。看起来你像是同时得了所有病——可没有一个具体。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.55502} 多半只是小毛病。要不是瘟疫，它自己就会好了。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.37165} 要不是瘟疫……
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.7520} 我需要查点东西。请到屏风后面去。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.20583} 站稳。我要取些样本。
{Dialogs2.Hospital.Day6.Hospital_Astrild.Hospital_Astrild_NewQuestions.14356} 恐怕你还得再待一会儿。我有件差事要办。
