{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.21721} 我看得出您是怎么瞧我的。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.3252} 我憎恶拿别人做实验。因此我所有研究成果都先在自己身上测试。我的科学超越经验与精确。它有自己的方法，独特而不同。所需的只是一张纸、一支铅笔和一些染疫的水。把公式写在纸上，等纸完全溶解，最后得到的水不仅无病，还能充当解药。不信的话，看看我！
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.2917} 你的右眼瞳孔这种变形有多久了？会影响视力吗？
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.19508} 童年时受过伤。孩子有时会被至亲至爱的人相当粗暴地对待。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.2709} 你脸上的红斑有多久了？会痒吗？
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.28681} 你问住我了，医生。你知道，我一焦虑就会脸红。而每次谈到我的发明，我都会焦虑。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.11099} 谢谢你的回答。还有别的困扰你吗？
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.5537} 安静些，医生。你听见了吗？哦不，我怕是它们。恩博虫。没错，是它们！有一只已经在你肩上了！小心，把嘴牢牢闭紧！
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.17447} 停。那只是你失控想象中的产物。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.19408} 别担心，这里什么都没有。
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.31426} 等它们消失之后，我们再谈可以吗？
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.18012} ...
{ArchiveDialogs.Hospitals.Day4.Hospital_Zhitochnik.Hospital_Zhitochnik_Interview.26575} 好吧，那我晚些再来和你谈。
