{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.2497} 现在你能把文件给我吗？我显然很好。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.42615} 听着。你显然不适。你和你的孩子症状相同。我也确信你的喉咙疼得厉害，和他们一样。你确定没有什么要告诉我吗？那样我才能治疗他们。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.32031} 我不是——好吧，随你。我的女儿花斑在街上和其他孩子玩。她一定是在那里染上了什么。我们全家都起了斑。我们喉咙痛、头痛，也发烧。但这不是瘟疫！
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.64074} 不是。但你自己说了：你女儿在街上染上病，然后她又传给你和你儿子。你的病会传染，而你知道这一点。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.37862} 我还要说多少遍？这不是为了我，是为了孩子。我求你，把文件给我们，让我们能救自己。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.56120} 这太鲁莽了。你们可能在路上恶化，没人能给你们适当照护。或者他们会把你们当成沙疫携带者，不再细查。到那时，你的孩子怎么办？
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.46019} 我愿意冒这个险，医生。我会躲起来，我会拿过敏的事撒谎……只要能让我的孩子安全，远离沙疫，怎样都行！
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.37292} 好。我会写一张字条，说明你和孩子健康。另写一张，给你们开治疗方案。照着做，你的孩子会康复，不会变成孤儿。但务必把第二张字条藏好。祝你好运，拼布。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.9708} 不，你拿不到离镇许可。你会传染别人，虽然传的不是沙疫。你还会毁掉我在军方面前的声誉。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.37195} 这太鲁莽了。我不能在一份声称你健康的文件上署名。如果军方看穿这个把戏，我会被医院开除。更糟的话，我会被送上行刑队。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.18190} 所以你担心自己的安全？那我就不该担心我的孩子？你到底是什么样的人，丹科夫斯基先生？
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.14566} 有这样的症状，你还决定离镇？还要接触别人，接触军队？你没有羞耻心吗？
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.40153} 我不得不标出症状，而我的铅笔迟疑了。毕竟，你一直在骗我。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.24324} 别急。我还需要检查你。
{Dialogs2.Hospital.Day9.Poshinok.Hospital_Poshinok_NewQuestions.29568} 如果你想要文件，就再等一会儿。我得仔细考虑我的决定。
