{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.30484} 你。你是这儿的负责人吗？能请你替我把这份文件签了吗？我是说，死亡证明。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.2271} 你是说，布拉克那个弑父者的罪名已经洗清了？嗯。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.31701} 要是我们能活着熬过这一切，总会有人给你签那张纸。但现在，大家都有更要紧的事做。请节哀。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.2256} 我兄弟死了。他是个坏人，恶人。可再怎么样，也是家里人……\n\n现在我就在这儿瞎忙，四处收这些文件。可我得老实说：我在这上头想不起他的名字了。我把他的<i>名字</i>给忘了，可谁也不肯帮我！
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.4647} 你是来给你兄弟开死亡证明的，可你……把他的名字忘了。啊<i>哈。</i>他真是你兄弟吗？
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.14857} 我自己也不知道怎么会这样！就像它被人从我脑子里踢出去了……我脑子里原本放着兄弟名字的地方，如今只剩一块黑斑。\n\n那个书记员还说，从车站送来的尸体只有两具。可如果布拉克捅了三个人，怎么会只有两具？一定是弄错了，请你去告诉他们！你也是那天到的，也许你看见了？
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.51707} 嗯哼。尸体怎么可能丢？抱歉，我帮不了你。我自己也只是这里的客人。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.5679} 我看见了。一个草药新娘把你兄弟的尸体带走了。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.37913} 抱歉，这不可能。亲族要带走尸体，必须有人准许。他们和尸体之间有特殊的关系，不经允许他们绝不会带走尸体！
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.2288} 抱歉，我对本地风俗完全不熟。我得走了。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.41456} 没错。是我。我准许她把尸体带走的。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.53615} <i>你？</i>你怎么能……他到底哪里对不起你，你竟把他喂给亲族？我还以为你是医生，是科学家，可你……你就一点都不知羞吗？！\n\n他们带走的不只是尸体。他们把他的<i>名字</i>也从我们所有人、从他的<i>家人</i>身上带走了。我现在到底该怎么想起他的名字？
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.15097} 那个草药新娘说，这样才是最好的。我信了她。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.5093} 车站那边，人人都说他没有亲属。于是，一次错误的代价，就是一个人的名字被忘掉。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.53422} 我不相信真能把一个人的名字拿走，哪怕是死人的名字。这纯属迷信。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.27728} 我记得他的名字。基……卡……嗯。像是 K 开头的……
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.9109} 老兄，外面的瘟疫正肆虐，市政厅又封着。我们现在说不定<i>所有人</i>最后都得没名字、没证明地下葬。
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.62609} 那不然呢，你是指望我把自己的名字填上去吗？
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.50835} 谁的死亡证明？
{Dialogs2.Days.Day5.Day5_Q0_PrisonBreak.Day5_Q0_MurderersBrother_Results.13938} 至少还有<i>人</i>不觉得这楼里所有人都注定要完蛋。还是说，你只是根本不知道危险有多近？
