{Dialogs2.Days.Day5.Day5_Q15.1_NormalCrucible.Day5_Q15.1_Georgiy_Friends.38583} 丹科夫斯基学士。昨晚我们正谈到你。市政厅出了什么事吗？还是只是社交拜访？
{Dialogs2.Days.Day5.Day5_Q15.1_NormalCrucible.Day5_Q15.1_Georgiy_Friends.39167} 我抵达两天后，瘟疫暴发了。
{Dialogs2.Days.Day5.Day5_Q15.1_NormalCrucible.Day5_Q15.1_Georgiy_Friends.2016} 我相信自己被引诱到这座小镇，并困在这里，好让他们摧毁我在首都的实验室。
{Dialogs2.Days.Day5.Day5_Q15.1_NormalCrucible.Day5_Q15.1_Georgiy_Friends.26565} 这个计划是不是有点太复杂了？你的敌人不能直接关闭你的实验室吗，不管你在不在首都？
{Dialogs2.Days.Day5.Day5_Q15.1_NormalCrucible.Day5_Q15.1_Georgiy_Friends.60945} 你不了解那些人。至少，我希望你不了解。学术界就是蛇笼。
{Dialogs2.Days.Day5.Day5_Q15.1_NormalCrucible.Day5_Q15.1_Georgiy_Friends.50284} 所有野心勃勃者组成的共同体都一样。不管你做什么，迟早总会走到三月十五日。
{Dialogs2.Days.Day5.Day5_Q15.1_NormalCrucible.Day5_Q15.1_Georgiy_Friends.38264} 可惜，我的三月十五日现在正在发生。没有我在场。
{Dialogs2.Days.Day5.Day5_Q15.1_NormalCrucible.Day5_Q15.1_Georgiy_Friends.24435} 现在看着你，我不明白西蒙在你身上看到了什么。你不像一个人，倒像好几个人。\n\n上一刻，你以出色的头脑让我惊讶；下一刻，你又像受惊的孩子一样啜泣。
{Dialogs2.Days.Day5.Day5_Q15.1_NormalCrucible.Day5_Q15.1_Georgiy_Friends.34601} 你知道西蒙怎么看我？
{Dialogs2.Days.Day5.Day5_Q15.1_NormalCrucible.Day5_Q15.1_Georgiy_Friends.48324} 你刚才整个人都亮了。我更喜欢这个版本的你。\n\n你是来谈西蒙的，对吧？你知道西蒙计划在戈尔洪河对岸建一座新城吗？
{Dialogs2.Days.Day5.Day5_Q15.1_NormalCrucible.Day5_Q15.1_Georgiy_Friends.37899} 我想我今天状态不太适合谈这种事。
{Dialogs2.Days.Day5.Day5_Q15.1_NormalCrucible.Day5_Q15.1_Georgiy_Friends.16410} 我觉得不只是我的同事。还有别人把我的科学视为眼中钉。
{Dialogs2.Days.Day5.Day5_Q15.1_NormalCrucible.Day5_Q15.1_Georgiy_Friends.42253} 先不谈这个。我来谈西蒙，不是谈我自己。
{Dialogs2.Days.Day5.Day5_Q15.1_NormalCrucible.Day5_Q15.1_Georgiy_Friends.21104} 偏执不意味着我没有被监视。
{Dialogs2.Days.Day5.Day5_Q15.1_NormalCrucible.Day5_Q15.1_Georgiy_Friends.62290} 也许。也许没有。你为什么这样抓着这个想法不放？
