{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.31141} ……我们继续？让我们看看你悲剧奥德赛的第四天。那一天尤其充满可疑行径。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.27021} 哦，对。还有最重要的！双重杀人案。第四天，学者丹科夫斯基在仓库外枪击了两个路过的普通人。怎么，你也要说这事没发生？
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.60675} 那是自卫。不是他们死，就是我死。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.22119} 当你否认事实时，麻烦你解释清楚。别绕来绕去。详细说说你的版本。请描述一下你的宇宙。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.7712} 当然。我会说。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.11799} 先让他们再端些咖啡来。而且这次一定要放糖。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.50823} 那两个——你刚才怎么说？“路过的普通人”正要把一个活人钉在墙上。用真正的钉子。我必须介入。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.14842} 根本不是那样。我跟他们谈了谈，他们就走了。没有伤亡。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.30627} 根本不是那样。我需要那个病人做研究。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.8264} 你听听自己在说什么？我为什么要去墓园挖坟？荒唐。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.47463} 我挖那座坟，是因为里面埋着一个活人。我救了他的命。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.10379} 是吗？那现在是谁在胡言乱语，学者？
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.19049} 你干脆把我的全部罪状念完吧？
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.56829} 顺便说一句，那趟列车后来证明是个骗局。相信骗子，就是这个下场。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.23315} 我是被迫接下这个角色的。所以严格来说，你的问题答案是“不”。
{Dialogs2.Days.Day4.Day4_Q0_Interrogation.Day4_Q0_Interrogation.7597} 一小时前，你还说我拒绝接管应急指挥部。你自相矛盾，督察。
