{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.26172} 什么情况？
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.10536} 一种病不可能有这么多症状。我们得划掉些什么。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.11261} 不知道，长官。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.32129} 我想我知道。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.32637} 嗯。那过去两天你做了什么？除了被运往部署地点以外。报告要详细。这些信息对医院具有战术——呃！具有实际价值。听你说话听久了，我的脑子都穿上军装了。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.36094} 听您命令，长官。请求……自由发言？
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.40588} 准许。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.26143} 我本来根本不该在这座镇上。那些大人物不太喜欢我，因为我常站在士兵这边，而不是站在那些爱摆军阶的肥大自尊那边。我尽量让我们做体面的事，而不只是照规矩办。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.58700} 军队不会喜欢这种事。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.64284} 他们希望一切都标准化，哪怕标准本身很丑。他们找借口让我退伍已经有一阵了，可我的服役记录没给他们把柄。所以他们就一直让我当中士，到此为止。现在我想让他们看看，老狗也还有点气力。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.16598} 那你做到了吗？让他们看见了吗？
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.34260} 一听说我的炮队要开到这个地方，我就自愿报名。不管这里出了什么事，都需要最老练的士兵。可指挥部说不行。所以，你知道，我就溜进一节铁路车厢，藏了起来。我的意思是，等我们到了这里，他们还能怎么办？把我送回去？
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.29190} 他们怎么接待你？
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.48822} 当然是老一套，带金属扣的军用皮带接待。然后他们叫我去挖壕。你知道那种活，“从这道篱笆挖到日落”。我手上全是流血的茧，指甲缝里、眼睛里、鼻子里都是土，甚至血里好像也有土。我还是一直挖。可我一发烧，他们就把我送进医院了。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.37196} 好，这解释了很多。等你的诊断吧。我差不多到最后一步了。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.8915} 他们不该那样对你，中士。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.63719} 你就是因为这个受罚的？自愿冒险进入瘟疫中的城镇？
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.20462} 看来是。军用皮带也好，工程作业也好。挖壕，“从这道篱笆挖到日落”。我手上全是流血的茧，指甲缝里、眼睛里、鼻子里都是土，甚至血里好像也有土。我还是一直挖。可我一发烧，他们就把我送进医院了。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.64923} 也许我真该退休了？
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.20895} 我大概一退休就会蹬腿。打仗是我唯一会做的事。这里才是我的位置。教那些乳臭未干的新兵懂门道。让他们别白白把命丢掉。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.24365} 你不担心自己的性命吗？这座镇是现在这个样子。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.28507} 正相反！一听说我的炮队要开到这个地方，我就自愿报名。不管这里出了什么事，都需要最老练的士兵。可指挥部说不行。所以，你知道，我就溜进一节铁路车厢，藏了起来。我的意思是，等我们到了这里，他们还能怎么办？把我送回去？
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.42653} 你既然这么说。不过我问的是过去几天发生的事。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.15208} 你看着不像这种人。人们会以为你满脑子都是服从规矩。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.56123} 问题就在这儿。他们找借口让我退伍已经有一阵了，可我的服役记录没给他们把柄。所以他们就一直让我当中士，到此为止。于是我想让他们看看，老狗也还有点气力。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.514} 如果你做得到的话。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.26000} 脱下制服。我要检查你。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.31035} 准备检测。
{Dialogs2.Hospital.Day9.Hospital_SergeantDront.Hospital_SergeantDront_NewQuestions.21886} 先等着。最好别立正。
