{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.13692} 你好，emshen（医者）。你看起来累坏了。
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.21658} 这倒是出乎意料，不过可比带孩子轻松多了。成交。
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.20631} 我没有和任何事划清界限的习惯。不然我也不会落到这里。
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.3598} 我们现在都站在同一边了，站在活人这一边，尽全力别跨到另一边去。
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.12990} 但你<i>确实</i>是个开膛手，布拉克，而且是个非常有用的开膛手。所以我永远都会站在你这边。
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.17524} 绝对不行。想都别想，我不想再跟你的孩子多待哪怕<i>一分钟</i>。我是个硬汉，可还没硬到那种程度。
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.14095} 必须得到病人的同意。明白吗，布拉克？
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.10449} 我明白，emshen（医者）。我知道一个合适的病人。一切都会顺利的，比·奈达姆泰·博洛霍。但我有个交换条件。
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.13375} 可即便如此，每个感染者还是都不肯放弃活下去的希望……没了一个器官之后的生活，并不是每个人都愿意接受。哪怕只是一个肾。
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.17835} 正是。我猜你也从甘珠尔身上取了组织样本。
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.17058} 不，我只是猜的。要是甘珠尔的组织里真有什么有价值的东西，你现在就不会这么生气了。
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.11752} 对，而这让我的工作难度翻了一倍。一个小时之内，坏死组织里就再也找不到沙疫了。这意味着根本无法研究它的作用。
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.20958} 谢谢夸奖。
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.8349} 我不是……我不是在夸你，emshen（医者）。
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.31328} 那是讽刺，布拉克。你与其分辨气味，不如学会分辨语气，那会更有用。有时候我真不敢相信你居然上过医学院。
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.21800} 看得出来你今天心情不好，emshen（医者）。甘珠尔的组织样本没用，是吧？
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.1934} 那我今天闻起来像什么？
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.32249} 有股焦糊味。是愤怒。但不是普通的愤怒，这是失望的味道。甘珠尔的组织样本没用，对吧？
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.29632} 老实说，你这份洞察力真让人烦。我都快开始相信，你真能靠闻气味闻出这些了。
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.24098} 如果甘珠尔的组织没用，那就说明沙疫在坏死过程中衰变得很快。反过来，也就意味着我们需要活体组织。
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.20352} 那是因为我累了，布拉克。
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.20410} 是味道。你闻起来像焦糊味。那是愤怒。但不只是普通的愤怒，那是失望的愤怒的味道。甘珠尔的组织没用，对吧？
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.32613} 真的？我哪里露馅了？是我眼下的黑眼圈，还是我被困在一座瘟疫肆虐的小镇这件事？
{Dialogs2.Days.Day5.Day5_Q7_FreshTissue.Day5_Q7_Haruspex_Order.18459} 是味道。你闻起来像焦糊味。那是愤怒。但不只是普通的愤怒，那是失望的愤怒的味道。甘珠尔的组织没用，对吧？
