{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.9951} 西蒙·凯恩！有人告诉我你会等我——但我以为会是在炉宅。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.47522} ……我一直在等这句话。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.5345} 你骗了我，格奥尔基。这些天你一直在骗我。你把西蒙的书房称作焦点——但那只是一个漂亮外壳，里面装满巫术玩具。他的遗体从来就不重要。\n\n当我们寻找死因时，你兄弟已经放弃了死亡这个概念本身。他在哪里？
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.29881} 在我面前。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.54374} 在你面前的是我。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.57481} 正确。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.50607} 焦点不只是一个地点，也是一种心智状态。它就是多面体本身。一个容器……你怎么称呼它来着……盛放西蒙灵魂的容器？
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.37033} 没有灵魂。只有记忆。只有观看的能力，以及一台把观者的记忆分裂成微粒、以便永远保存的机器。我们此刻正看着它。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.41405} 你是说西蒙·凯恩为了躲避瘟疫，藏进了多面体？
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.36950} 他进入焦点，是为了不再作为单一自我存在——从而欺骗时间。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.8664} 而您，亲爱的学者，从第一天起就知道这一点？
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.18432} 我一直知道。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.33693} 我不认为“第一天”这个概念适用于这个故事。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.59469} 这些全是文字游戏。从本质上说，“西蒙还活着”这句话描述的世界状态，与我们眼下身处的状态完全一致。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.46393} 而玛丽亚——玛丽亚此刻正在看着我们，而且她真正看见的是西蒙。她没有弄错。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.54255} 在您面前的是多面体。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.28268} 你在说谎，格奥尔基。我去过炉宅的焦点。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.6256} 你在说谎，格奥尔基。西蒙还活着。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.54488} 我们正与西蒙面对面站着，调查警督。
{Dialogs2.Days.Day1.Day1_Q6_BurnBrideSaving.Day1_Q6_Georgiy_SimonIsDead.43090} 这是格奥尔基·凯恩，镇法官。据我理解，你一开始把他误认成了他的兄弟。记录里提到他们相貌相似——据说几乎像双胞胎。可那又怎么可能……那么，西蒙又在哪里？
