{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.29976} 出什么事了，Oynon（异乡人）？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.1862} 我身上带着一份血样。请你看一眼。我想听听你的意见。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.53837} 这是什么血？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.17296} 首先，答应我这事只有我们知道。这可能很危险。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.60659} 他们确实提醒过我，说你到处都看见阴谋。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.45292} 谁提醒你？你和别人谈论过我？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.16951} 你真是疑神疑鬼，Oynon（异乡人）。人们就是会这样说。人们也会谈论别人。这里没有阴谋，只是人性而已。你决定给我看的这份血，是什么？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.44611} 不，等等。你在回避我的问题。你和谁谈论过我？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.46977} Kharaal。你太在意你自己这个人了。我告诉你一个秘密，Oynon（异乡人）：没人盯着你，因为没必要。只要有机会，你自己就会把关于你的一切都说出来。你是个 khööreldeghshe。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.49444} 你根本不了解我的生活。不了解那些诋毁我的人。不了解他们为了毁掉我愿意做到什么地步！
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.58827} 我是外科医生，神经不是我的领域。你到底能不能说重点？你想听我的意见。关于什么？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.38070} 不……我想我改主意了。我不确定我能信任你。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.54121} 刚才我说得过了。抱歉。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.55783} 就算我偏执，也不代表他们没有在追着我。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.60344} 好吧，就按你的来。我保证守口如瓶。不是因为我相信你是对的，而是因为你这么要求了。你决定给我看的这份血，是什么？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.40840} 你们的草原传说里，有没有提过一个血管里流着公牛血的人？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.10954} 现在你开始打哑谜了。Bee taabarinuudta durathai besheb。你平常可更直截了当。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.11169} 多面体下面躺着一具尸体。血泊大得不正常。我取了血样，而它……混着公牛的血。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.34740} 我一定是老了。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.25899} 你是说你的某个病人？会不会是护理员把试管弄混了？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.50830} 不。我去过那个……事件现场。多面体下面躺着一具尸体。血泊大得不正常。我取了血样，而它……混着公牛的血。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.2367} 告诉我，你今天有没有靠近过多面体？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.60362} 我不去多面体。我去做什么？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.20962} 今天多面体下面发现了一具尸体。我检查过。按伤口来看，血比该有的多。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.61193} 然后呢？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.46578} 我觉得可疑，所以取了血样。它……不只是人的。人血里混着动物血。我想，是公牛血。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.31014} 嗯。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.53294} 我讨厌你这种单音节回答。说点有意义的，行吗？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.30311} 我在认真听，Oynon（异乡人）。等你把想法说完。你说完了吗？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.49713} 是谁在多面体下面洒了公牛血，为什么？这才是困扰我的问题。而且量还这么大！会不会是某种仪式的一部分？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.54095} 我从没听说过多面体下面有什么仪式，但……现在我也想把这事查清楚了，Oynon（异乡人）。把血样给我。我需要看它——也需要亲眼去看看那个地方。只有那样，我才能给你答案。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.6695} 请你快一点。这种……现象让我很不安。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.60938} 我希望金族人没有卷进去。现在我最不需要的，就是和草原人起冲突。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.53191} 布拉赫，多面体旁边那具尸体是一名士兵的尸体。我希望你明白，这局面有多容易爆炸。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.22409} 我予你，你予我。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.49949} 嗯。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.40079} 所以不是这个，就是那个：要么一个刚来镇上的普通士兵，其实是血管里流着公牛血的弥诺陶洛斯……
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.18540} ……要么他不知怎么，倒进了一滩公牛血里。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.33468} 所以我才来找你。这事……很怪。最简单的答案，就是有人在那儿，在塔旁边剖开了一头公牛。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.20020} 你是战地外科医生，布拉赫……枪伤通常会流出多少血？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.46240} 这问题好笑——你也知道它好笑。要看子弹打中哪里，穿透了哪些器官。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.52872} 但人体内的血量是有限的。有一个已知上限，绝不会多过那个数。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.40364} 你想说什么？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.43390} 现场的血量让我在意，所以我取了样。它……混着公牛血。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.44199} 要刺穿人的哪个器官，才会流出公牛血？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.81} 我真不敢相信你竟然不被它吸引。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.24819} 它本来就是为了吸引人而造的。这就是它的全部目的。但我不想当一只飞向灯笼、只为烧死自己的蛾子。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.62741} 蛾子把灯笼当成月亮。但如果有一盏灯能与月亮相等，甚至超过月亮呢？一件超越自然的人造物？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.46119} 就算真是这样，蛾子也还是会烧死，Oynon（异乡人）。它被赋予借月光辨路的能力，正是因为它永远不会一路飞到月亮那里。指路的光，理想，不能用赤手去触碰。凯恩家所有计划的裂缝都从这里来，他们所有错误的源头也在这里。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.33137} 你错了。达成完美——飞向月亮，建造不可能的结构，把一个闭塞小镇引向乌托邦——这才是人类生命唯一的意义。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.20638} 我看得出，你执意要燃烧，Oynon（异乡人）。我不能禁止你。你的意志应当让任何选择都变成正确的。但先确认一下，你的意志还在你这里，没有被空洞的幻象哄睡。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.24094} 我很想向你解释，这件事到底有多不关你的事，但我甚至不知道该从哪里说起。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.23293} 但你来这里不是为了谈这个。灯笼的光让蛾子偏离了道路。你想从我这里得到什么，Oynon（异乡人）？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.56095} 谢谢你，布拉赫。谢谢你即使不同意，也仍能尊重。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.50682} 有时我仔细去想多面体究竟是什么，自己也会害怕。但我无法否认它的大胆，它的天才。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_Haruspex_BloodOnTheGlasstower.829} 今天有一只蛾子烧死了。多面体下面发现了一具尸体。我检查过。按伤口来看，血比该有的多。
