{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.39590} ……并封锁整个区域。我们最不希望的，就是消息传出去……
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.16708} 也许这就是原因？压力，欺凌？你们叫什么——霸凌？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.38539} 不，我们管得很严。将军不会容忍欺凌。再说，就算他们曾跟卡什金开玩笑，也是善意的，没有肮脏事。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.61403} 被欺负的人身边，总有人这么说。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.6372} 如果你错了呢？如果真像你说的那么平静，那卡什金为什么会躺在塔下的血泊里？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.38961} 如果我们团里查出任何肮脏事，我会第一个递交辞呈，并把自己送上军事法庭。我在布洛克将军麾下服役多年；士兵之间的关系、他们的士气——这些全都是我的责任。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.36823} 这就意味着，让我参与调查符合你的利益。反正我已经知道这起死亡了。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.37502} 做你该做的。军营设在车站附近。卡什金今天值清扫班，差不多现在该上岗了。扫帚大概已经在他的铺位旁等着他了……
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.47135} 喂，你为什么什么都告诉那个探子，还让他进营地！还不如把那把扫帚往他脑门上抡。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.27549} 不，不，他说得对。调查也许需要帮助。我只恳请你保密，不要散布这起……事件。如果士兵们知道有人把他们的朋友从塔上扔下来，他们会失控。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.25521} 好吧，我答应不说。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.35637} 我不能保证什么。整件事都臭不可闻。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.40061} 我能看看卡什金的私人物品吗？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.13779} 有没有可能是他自杀？军队不是软心肠的人待的地方。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.28720} 我不知道——这种事真能知道吗？他一颗干净的心，总在笑，谁都帮。团里有个玩笑——需要帮忙就去找卡什金，他们常这么说。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.33193} 别再空谈了。要查明是不是谋杀，就得检查尸体。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.40914} 我们已经检查过了。怎么，你以为我们站在这儿是摆设？我们在干活。正在弄清楚。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.11582} 这事很微妙。如果真是和本地人的冲突，后果可能是灾难性的……
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.25429} 我明白了。要么是你们自己杀了他，要么是在替凶手遮掩。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.48721} 你敢……再说一句，我就修理你那张脸，明白吗？你这辈子都得喝汤。用漏斗喝。滚开。把他当个人，他就铲你一锹土！
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.50690} 我看你们直接就上威胁了。够快的。这只会证实我的怀疑。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.5990} “铲你一锹土”到底是什么说法？没人这么说。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.1942} 如果他是被谋杀的，那凶手就在我们中间走动。这很危险。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.48333} 你怎么就知道他是被谋杀的？他躺在塔下面——那就是从那里摔下来的，清楚吗？官方说法就是这样，到此为止。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.36682} 布洛克将军知道城里有士兵被杀了吗？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.48769} 该知道的人会知道。不该知道的人则不能知道。想想看：军队到来的第一天，城里就有士兵被杀。如果消息传出去……所有人本来就绷着，我们不需要街上打起来。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.25013} 你知道我是谁吗？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.46132} 知道，当然知道。想不知道都难，你这恶鬼把毒刺伸进每个角落。你管医院。这里看起来像医院吗？所以别在这里发号施令。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.25408} 让我过去。我需要看一眼尸体。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.35026} 站住！瞧瞧他，挺活泛啊。有人请你来了吗？看尸体？看你个头！你从哪儿冒出来的，看尸体的？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.7377} 让我看看他。那是我的朋友。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.9310} 真的，嗯？那你这位朋友叫什么，嗯？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.23946} 不关你的事。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.53197} 普拉东。你们对普拉东做了什么？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.37680} 医生，你为什么撒谎？这个士兵是我团里的人，我当然知道他叫什么。你指望什么？
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.35851} 走开吧，老兄。拿死人冒充朋友，这些人真是没有一点敬畏！
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.15255} 我只是想检查尸体……
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.56444} 好吧，这就尴尬了。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.21141} 彼得！他叫彼得。
{Dialogs2.Days.Day9.Day9_Q12_BloodRivers.Day9_Q12_OfficerAndPatrolman_DeadBody.64382} 他和我同名。他叫丹尼尔。
