{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.26220} 检查完了吗，大夫？我能走了吗？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.40078} 你得留院观察。我要用你的血液研制疫苗……说不定能造福众人。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.17308} 我要填写病历，你晚点就能看到诊断结果。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.44837} 眼下病例简单明了实属幸运。恐怕往后会越来越棘手。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.31641} 给人下诊断的逻辑你弄明白了么？步骤顺序都记住了么？问诊、检查、复询，然后查阅病历簿。千万别忘了。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.51432} 噢，别浪费你的聪明才智了……
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.38637} 泥土……泥土……手册里提过<b>泥土</b>相关事项。真希望记得在哪页。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.24653} 明白了：存疑就仔仔细细读一遍病症说明。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.46261} 身上的淤青是撞出来的，那就跟我们要找的那种淤青对不上了……
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.40081} 抱歉，丹科夫斯基先生。我没法一边看手册，一边跟上您的思路。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.2308} 等不及要试一试了。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.57642} 流感、灼热症、痨病、麻疹、兔热病……后面这个连<b>读</b>都读不顺，舌头差点打结！天啊，种类真多！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.51368} 我快记混了。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.20946} 问题……问题……可是怎么把答案跟诊断联系在一起？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.47570} 她肯定不是无缘无故发烧……得弄明白她为什么烧。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.55040} 何必考我？您怎么说，就怎么做。这儿您说了算，我就是个懵懂助手。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.48914} 过来，利特尔先生！这份病历我们一起填，好歹让你脑袋里<b>沉淀</b>点儿知识。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.60638} 我可能遗漏了什么。再检查一遍。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.32519} 在此等候。我稍后回来。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_PatientOne_NewQuestions.60839} 找我助手谈。我得填写你的病历——苍白、发热加淤青……
