{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.26220} 医生，你检查完了吗？我现在可以走了吗？
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.28534} 我不难为情。淤青？这倒是新鲜！我以前没见过。也想不起你说的那种事……我肯定没挨打。大概是我自己撞到什么，又被这些乱事弄忘了。锅炉房又黑又窄……大概就是在那里撞的。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.62882} 丹科夫斯基医生，我在你的清单上看见这个“血肿”，这个花哨的淤青了！
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.47975} 跟上了吗，利特尔？注意。她不记得淤青是怎么来的，只能猜。手册在这种情况下会给出更详细的病症描述：病因、易感人群等等。它能提供有用线索。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.47959} 这个我懂。“易感”是指……高危人群，对吧？
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.59980} 行医不只是像小学生一样勤奋地把症状和清单核对。你必须把推理带进去。可以这样做。夫人，告诉我，你种花种菜吗？种任何东西？从玫瑰到黄瓜都算。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.40950} 黄瓜？玫瑰？我现在完全听不懂了，医生。不，我从来不喜欢翻土铲地那套。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.61077} 看，土。你被转移去住的锅炉房，地面会不会正好是泥土地？
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.22683} 没错，是泥土地。锅炉房本来不适合住人，可这种时候，再抱怨就显得不知好歹了……你怎么猜到的，医生？关于泥土地？
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.32424} 所以我们为什么需要这个小细节？偏偏地面为什么重要？
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.15104} 很简单。本地土壤里能找到各种东西——包括会扰乱循环的微生物。因此出现苍白。淤青不是外伤导致的。血管壁受损时就会出现血肿，可能来自外力，也可能像这次一样来自疾病。而感染可以通过接触泥土获得。我们找到诊断了。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.59218} 你真是天才，丹科夫斯基医生！
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.38854} 你真是天才，丹科夫斯基医生！
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.27516} 别再崇拜了。再过几天，你至少会抓住要领。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.40704} 不管怎样，还是要向你喝彩。你是真正的医学大师！所以病人除了沙疫，还有……另一个诊断是什么？
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.47688} 我已经带你走完整个过程了。你可以自己完成。症状是发热、苍白和淤青。把它们合在一起，就会得到结果。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.52563} 那我呢，医生？我现在该去哪儿？接下来怎么办？
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.38835} 谢谢你提供了一次很有教学价值的体格检查。没有真实病人，医学可教不了！
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.40078} 你会留在这里观察。你的血将用于疫苗。希望所有人都能从中受益。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.17308} 我现在要填写病历，然后你就可以读我的判定了。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.44837} 我们很幸运，手头这个病例简单明晰。我预感之后只会更糟。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.31641} 但你听懂逻辑了吗？做什么，按什么顺序？问诊、检查、追问。然后查病例手册。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.51432} 哦，别把你敏锐的头脑浪费在那上面……
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.38637} 泥土……泥土……手册里有关于泥土的内容。真希望我记得在哪儿。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.24653} 明白了：拿不准时，就详细阅读病症说明。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.46261} 但如果病人只是撞到什么才有淤青，那就不是我们要找的那种淤青……
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.2308} 我等不及要试试这套方法了。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.57642} 流感、灼热病、痨病、麻疹、土拉菌病……后面那个我都读不出来。真拗口。哎呀，怎么这么多！
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.51368} 我数不过来了。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.20946} 问题……问题……可怎么把答案和诊断连起来？
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.47570} 嗯，如果她发过热……一定有原因，我们得把原因找出来。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.55040} 为什么考我？你决定该做什么，事情就会照做。你是头儿，我是无知的杂役。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.48914} 利特尔，你该过来！我们一起填写这位病人的病历，好让你脑袋里至少沉下那么一点知识。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.60638} 我可能漏掉了什么。我们再看一遍。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.27364} 我可以取你的组织样本检查，但今天医院的显微镜耗材不足。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.32519} 在这里等我。我稍后回来。
{Dialogs2.Hospital.Day4.Hospital_Liuta.Hospital_Liuta_NewQuestions.60839} 去和我的助手谈。我得填写你的病历。苍白、发热和淤青……
