{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.44488} 抬头。什么事？你为什么来？说。
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.13633} 以什么罪名？
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.102} 这重要吗？任何人都有权得到有尊严的对待。
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.21304} 确实如此。不过，一个穿着量身西装的刽子手，还能指望他做出什么别的事。囚犯叫什么？
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.48066} 企图侵犯现实。
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.33208} 看来审判所觉得我们尘世的法典还不够用。他们如今开始凭空编织罪名了。“企图侵犯现实”？那究竟是什么意思？那个可怜人背上这套荒唐罪名，他叫什么？
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.34518} 卡尔明斯基想从他那里逼问出多面体的秘密。这个求知的过程，恐怕会相当痛苦。
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.7598} 无赖。真是个无赖。军队中总有一天该废除体罚，而把体罚用在平民身上，更是下作。不过——一个穿着量身西装的刽子手，还能指望他做出什么别的事。囚犯叫什么？
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.28819} 斯塔马京。彼得·斯塔马京。
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.46554} 嗯。我已有一阵子没有同审判所交锋了。和审判官说话，就像穿过雷区。不过，我知道该怎样接近他们。给我些时间，丹科夫斯基。我会派信使去教堂，要求他们说明情况。
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.39530} 我该在这里等您吗？
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.15346} 是的。我正要请您填写医院报告——有几处需要澄清。报告就在桌上。等您完成时，我希望关于那名囚犯的消息也已经到了。
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.23424} 好。我会看看。
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.23713} 澄清什么？我原以为医院的工作并没有受到投诉。
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.49014} 恐怕我还有别的事务要处理。但我会在几个小时后回来。
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.5287} 谢谢您的尝试，将军。
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.61233} 我该和您一起去吗？
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.38881} 不。留在这里。我正要请您填写医院报告——有几处需要澄清。报告就在桌上。等您完成时，我希望关于那名囚犯的消息也已经到了。
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.12931} 斯塔马京。如果您出面干预，就能救他的命。
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.57959} 但您是声名显赫的将军，是有分量的人。您站在审判所之上，不是吗？
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.27033} 在他们之上——谈不上。但我的名声确实像一道护符，能挡住他们那些肮脏把戏。他们的刑具够不到我。您为什么问这个？
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.64917} 他们的刑具已经够到我的一位熟人了。所以我想请您帮他。
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.62199} 我打扰了吗？要不要稍后再来？
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.48422} 我是来求助的。审判官已经越界了，而在我看来，只有您能约束他。
{Dialogs2.Days.Day10.Day10_Q10_SavingTheInquisitor.Day10_Q10_Block_Confrontation.18661} 请见谅，医生。我很快会处理您的事，但我必须先听我的副官报告。说吧，杰尔扎文。不要迟疑。你知道我厌恶优柔寡断。若有麻烦——就拿出胆量说出来。
