{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.18818} 医生？
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.4617} 瘟疫死了，可人既没有药，也没有机会……我们需要的是医生，不是狂信者。你明白吗？
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.4113} 如果沙疫真有这么强的传染性和致命性，激烈措施不可避免。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.5519} 老实说，目前知道得很少。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.23736} 这是你们第一次面对这种事吗？你们镇上从来没有过肺结核？
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.19357} 人类疾病的症状不可能通过房子的墙传染。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.15361} 我这辈子第一次希望自己错了。但如果你不信，就亲自去粗建地看看。那些空房子会比语言说得更清楚。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.22209} 所以你要我处理这场所谓即将到来的疫情？
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.17462} 正是。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.16221} 可我明天就要离开。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.17550} 我没有时间。首都需要我。塔纳提卡正濒临毁灭。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.7763} 我押上的是一整座镇子，医生。你拿不出同等的筹码，没有什么能和这种风险相提并论。所以我们说清楚。你帮我们处理疫情，我会尽我所能让你的工作更容易，并为你取得你需要的一切。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.30486} 不。我来这里只是为了见西蒙和伊西多尔。仅此而已。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.12549} 那么，如果——出于某种可怕的巧合——你不小心把瘟疫带回首都，感染了你整个大学，你也会觉得自己问心无愧？
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.29395} 暴发只是未经证实的猜测。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.16467} 不是针对你个人，医生。我命令你检查伊西多尔屋上的真菌。我命令你遵守希波克拉底誓言，帮助这座镇子摆脱可怕的沙疫。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.11420} 你无权扣留我。这是侵犯。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.16263} 我完全有权扣留你，凭我的职权，而且我正在这么做。为这座镇子提供所需的一切，是我的职责。而现在它需要你。谈话到此为止。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.21754} 我简直不敢相信自己的耳朵。谁来掐我一下。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.5266} 医生。丹尼尔。求你。如果我更聪明，我会骗你签下我需要的文件。但我是个诚实的傻瓜。是的，你的不满可以理解。但至少请你珍视我的坦诚。我是这里唯一会给你这个的人。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.22357} 祈祷这种真菌真的是沙疫吧。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.29118} 见鬼去吧，总督。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.421} 好极了。而我本来只想知道在哪里能找到斯坦尼斯拉夫·鲁宾。你怎么能想象一个医生在染疫的房子里工作……？
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.18066} 漂亮。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.19505} 难以置信。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.30876} 我对你们的这种瘟疫一无所知！不管我多么优秀，我都不能向你保证任何事。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.9961} 别拿我的誓言来纠缠我！
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.11278} 别逼我。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.3046} 一厢情愿。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.18728} 抱歉这么说，但这听起来疯了。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.20542} 潮湿会滋生健康问题。
{ArchiveDialogs.Day2.Day2_Q3_FindRubinAndBody.Day2_Q3_SaburovForced.24345} 那就去伊西多尔家。谢谢。
