{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.64018} 孩子们怎么样？他们偷糖、忘记刷牙，我都不在乎，只要别发生更糟的事。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.34096} 你注意到自己有多苍白吗？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.51571} 我来自南方。在我看来，和我习惯的天气相比，这座城简直没有夏天。我没怎么晒到太阳。不过……不，我无法确定自己是不是比平常更苍白。平常我的皮肤会晒黑。你觉得这是症状吗？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.10094} 也许。可惜你不能确定。我会在旁边打个问号。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.57637} 我最不愿意的，就是误导你，丹科夫斯基医生。我知道疫苗有多重要。所以我才尽量谨慎地评估。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.24005} 你是气短，还是我的错觉？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.23885} 我从小就有这个毛病。非常焦虑时，呼吸会有困难。我读到过这种情况。这很常见，更多是心理性的，不是躯体性的。我说错了吗？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.30623} 你的意思是，这是典型反应？那就不是症状……我想。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.51401} 我紧张时总会气短，已经习惯到不再留意它了。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.30890} 看情况。说到底，什么都可以归咎于焦虑。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.8129} 我一下子找齐了所有症状。抱歉，我们得划掉一些。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.59090} 很遗憾，我无法得出结论。我找到的一切，都可能属于你的病，也可能不属于。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.22188} 如果我还注意到别的，一定会告诉你。唯一异常的只有发热。现在呢？你承认失败了？明天不会有疫苗了？
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.2749} 不，我没有放弃。远远没有！我现在更有理由去斯塔霍维亚克家了——除了你关于孩子们的请求，我也想在那里找出病型中缺失的细节。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.13674} 让我检查你。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.16229} 我需要取些样本。请忍耐一下。
{Dialogs2.Hospital.Day10.Hospital_Kira.Hospital_Kira_NewQuestions.38658} 我需要理清思绪。我不能犯错——这是我们制造疫苗的唯一机会。
